marital status	age	sex	district	1994Q1	1995Q1	1996Q1	1997Q1	1998Q1	1999Q1	2000Q1	2001Q1	2002Q4
Never married	0-9 years	Men	Copenhagen total	21940	22951	23853	24884	25558	26172	26779	27563	28309
Never married	0-9 years	Men	District - Indre By	1514	1556	1620	1715	1737	1827	1953	2074	2122
Never married	0-9 years	Men	District - Østerbro	2610	2734	2855	3063	3184	3310	3355	3410	3617
Never married	0-9 years	Men	District - Nørrebro	3670	3858	3999	4164	4362	4395	4479	4594	4703
Never married	0-9 years	Men	District - Vesterbro/Kongens Enghave	2075	2110	2079	2139	2193	2257	2374	2500	2777
Never married	0-9 years	Men	District - Valby	2232	2288	2491	2552	2616	2670	2689	2724	2738
Never married	0-9 years	Men	District - Vanløse	1694	1747	1849	1858	1876	1881	1892	1961	2013
Never married	0-9 years	Men	District - Brønshøj-Husum	2202	2410	2451	2628	2705	2769	2820	2863	2825
Never married	0-9 years	Men	District - Bispebjerg	1589	1669	1810	1874	1957	2001	2097	2192	2276
Never married	0-9 years	Men	District - Amager Øst	2199	2306	2347	2443	2463	2531	2591	2653	2614
Never married	0-9 years	Men	District - Amager Vest	2129	2241	2305	2397	2420	2481	2480	2523	2541
Never married	0-9 years	Men	Polling area - 1. Østerbro	403	476	539	611	619	647	699	715	737
Never married	0-9 years	Men	Polling area - 1. Øst	246	254	250	264	289	297	305	305	351
Never married	0-9 years	Men	Polling area - 1. Nord	298	287	272	325	345	352	364	360	384
Never married	0-9 years	Men	Polling area - 1. Syd	579	624	633	659	699	748	737	779	857
Never married	0-9 years	Men	Polling area - 1. Vest	578	586	615	646	676	679	658	658	664
Never married	0-9 years	Men	Polling area - 1. Nordvest	506	507	546	558	556	587	592	593	624
Never married	0-9 years	Men	Polling area - 2. Sundbyvester	630	657	656	684	672	676	686	676	715
Never married	0-9 years	Men	Polling area - 2. Nord	733	796	795	800	812	852	851	873	882
Never married	0-9 years	Men	Polling area - 2. Syd	120	125	128	138	145	147	133	140	120
Never married	0-9 years	Men	Polling area - 2. Øst	433	439	483	506	518	503	502	508	494
Never married	0-9 years	Men	Polling area - 2. Vest	213	224	243	269	273	303	308	326	330
Never married	0-9 years	Men	Polling area - 3. Indre By	365	378	422	449	450	467	521	559	607
Never married	0-9 years	Men	Polling area - 3. Nord	306	299	334	343	369	409	450	464	458
Never married	0-9 years	Men	Polling area - 3. Syd	379	397	404	420	420	437	434	484	501
Never married	0-9 years	Men	Polling area - 3. Øst	490	514	507	554	543	564	597	636	639
Never married	0-9 years	Men	Polling area - 4. Sundbyøster	456	451	457	483	473	498	505	500	496
Never married	0-9 years	Men	Polling area - 4. Nord	825	884	887	922	948	967	988	994	962
Never married	0-9 years	Men	Polling area - 4. Syd	438	457	469	486	491	518	533	535	508
Never married	0-9 years	Men	Polling area - 4. Øst	480	514	534	552	551	548	565	624	648
Never married	0-9 years	Men	Polling area - 5. Nørrebro	415	410	410	442	450	436	437	453	433
Never married	0-9 years	Men	Polling area - 5. Nord	515	557	551	589	598	624	642	644	656
Never married	0-9 years	Men	Polling area - 5. Nørrebrohallen	956	1027	1089	1147	1203	1228	1259	1284	1250
Never married	0-9 years	Men	Polling area - 5. Syd	499	545	577	577	634	629	636	639	669
Never married	0-9 years	Men	Polling area - 5. Øst	269	278	321	348	381	370	380	404	431
Never married	0-9 years	Men	Polling area - 5. Vest	515	517	515	507	546	552	579	602	659
Never married	0-9 years	Men	Polling area - 5. Nordvest	501	524	536	554	550	556	546	568	605
Never married	0-9 years	Men	Polling area - 6. Bispebjerg	284	337	329	346	354	362	385	412	439
Never married	0-9 years	Men	Polling area - 6. Vest	332	323	403	417	433	451	529	555	570
Never married	0-9 years	Men	Polling area - 6. Nord	358	378	394	414	428	447	444	463	456
Never married	0-9 years	Men	Polling area - 6. Øst	202	206	226	234	260	268	259	268	266
Never married	0-9 years	Men	Polling area - 6. Syd	413	425	458	463	482	473	480	494	545
Never married	0-9 years	Men	Polling area - 7. Brønshøj	322	337	336	355	332	326	323	317	313
Never married	0-9 years	Men	Polling area - 7. Nord	491	513	526	633	686	746	748	755	726
Never married	0-9 years	Men	Polling area - 7. Syd	353	382	409	379	408	412	400	440	479
Never married	0-9 years	Men	Polling area - 7. Øst	568	581	589	609	639	652	650	665	662
Never married	0-9 years	Men	Polling area - 7. Vest	345	467	471	503	528	527	556	571	567
Never married	0-9 years	Men	Polling area - 7. Nordvest	628	657	676	694	677	674	701	704	705
Never married	0-9 years	Men	Polling area - 7. Katrinedal	194	202	209	211	224	232	238	251	256
Never married	0-9 years	Men	Polling area - 7. Kirkebjerg	443	448	470	482	466	472	486	492	495
Never married	0-9 years	Men	Polling area - 7. Vanløse	552	570	614	620	621	609	610	629	635
Never married	0-9 years	Men	Polling area - 8. Valby	561	556	712	766	764	789	792	807	844
Never married	0-9 years	Men	Polling area - 8. Nord	381	403	467	480	494	528	513	500	488
Never married	0-9 years	Men	Polling area - 8. Syd	275	294	320	308	326	325	341	352	382
Never married	0-9 years	Men	Polling area - 8. Vest	356	363	347	352	360	351	351	376	370
Never married	0-9 years	Men	Polling area - 8. Sydøst	384	391	376	374	406	391	386	384	336
Never married	0-9 years	Men	Polling area - 8. Midt	275	281	269	272	266	286	306	305	318
