marital status	age	sex	district	1985Q1	1986Q1	1987Q1	1988Q1	1989Q1	1990Q1	1991Q1	1992Q1	1993Q1
Never married	0-9 years	Men	Copenhagen total	18955	18428	18194	18423	18644	19050	19400	20098	21106
Never married	0-9 years	Men	District - Indre By	1546	1523	1486	1448	1458	1443	1420	1429	1465
Never married	0-9 years	Men	District - Østerbro	2326	2244	2150	2142	2123	2159	2298	2347	2502
Never married	0-9 years	Men	District - Nørrebro	2951	2845	2835	2971	3065	3136	3131	3333	3520
Never married	0-9 years	Men	District - Vesterbro/Kongens Enghave	2137	2041	1984	1952	1959	1945	2022	2007	2042
Never married	0-9 years	Men	District - Valby	1974	1901	1915	1921	1931	1949	1938	2059	2156
Never married	0-9 years	Men	District - Vanløse	1340	1310	1330	1341	1393	1433	1471	1532	1595
Never married	0-9 years	Men	District - Brønshøj-Husum	1707	1683	1662	1699	1764	1828	1888	1992	2084
Never married	0-9 years	Men	District - Bispebjerg	1323	1342	1315	1327	1314	1397	1430	1462	1541
Never married	0-9 years	Men	District - Amager Øst	1709	1680	1608	1654	1673	1767	1794	1926	2075
Never married	0-9 years	Men	District - Amager Vest	1942	1859	1909	1968	1964	1993	1970	1968	2085
Never married	0-9 years	Men	Polling area - 1. Østerbro	399	372	383	371	348	385	379	376	392
Never married	0-9 years	Men	Polling area - 1. Øst	172	171	172	170	181	179	189	204	216
Never married	0-9 years	Men	Polling area - 1. Nord	283	270	253	276	298	283	282	281	311
Never married	0-9 years	Men	Polling area - 1. Syd	537	523	491	497	477	491	511	524	555
Never married	0-9 years	Men	Polling area - 1. Vest	475	452	426	422	426	424	515	518	537
Never married	0-9 years	Men	Polling area - 1. Nordvest	460	456	425	406	393	397	422	444	491
Never married	0-9 years	Men	Polling area - 2. Sundbyvester	416	386	389	456	454	550	557	582	606
Never married	0-9 years	Men	Polling area - 2. Nord	687	670	701	691	715	710	700	701	737
Never married	0-9 years	Men	Polling area - 2. Syd	116	123	120	128	123	133	110	104	120
Never married	0-9 years	Men	Polling area - 2. Øst	482	455	480	483	463	393	389	382	406
Never married	0-9 years	Men	Polling area - 2. Vest	241	225	219	210	209	207	214	199	216
Never married	0-9 years	Men	Polling area - 3. Indre By	380	356	363	356	364	340	381	383	383
Never married	0-9 years	Men	Polling area - 3. Nord	331	320	332	319	319	297	282	278	288
Never married	0-9 years	Men	Polling area - 3. Syd	346	335	334	326	326	359	355	348	369
Never married	0-9 years	Men	Polling area - 3. Øst	489	512	457	447	449	447	440	463	466
Never married	0-9 years	Men	Polling area - 4. Sundbyøster	370	377	360	372	356	357	384	390	404
Never married	0-9 years	Men	Polling area - 4. Nord	648	643	612	613	617	689	677	726	801
Never married	0-9 years	Men	Polling area - 4. Syd	357	351	324	350	351	351	354	394	423
Never married	0-9 years	Men	Polling area - 4. Øst	334	309	312	319	349	370	379	416	447
Never married	0-9 years	Men	Polling area - 5. Nørrebro	382	359	342	362	362	364	359	366	393
