marital status	age	sex	district	2003Q4	2004Q4	2005Q4	2006Q4	2007Q4	2008Q4	2009Q4	2010Q4	2011Q4
Never married	0-9 years	Men	Copenhagen total	28466	28358	27951	27982	28314	28850	29877	30917	31950
Never married	0-9 years	Men	District - Indre By	2165	2180	2219	2264	2304	2320	2328	2367	2432
Never married	0-9 years	Men	District - Østerbro	3691	3736	3720	3688	3723	3856	3999	4128	4240
Never married	0-9 years	Men	District - Nørrebro	4600	4531	4416	4292	4229	4080	4128	4162	4138
Never married	0-9 years	Men	District - Vesterbro/Kongens Enghave	2881	2840	2786	2748	2853	2986	3193	3377	3533
Never married	0-9 years	Men	District - Valby	2726	2687	2589	2533	2590	2699	2793	2968	3079
Never married	0-9 years	Men	District - Vanløse	1999	2012	2020	2030	1969	1967	2091	2183	2256
Never married	0-9 years	Men	District - Brønshøj-Husum	2873	2845	2782	2751	2715	2712	2750	2770	2907
Never married	0-9 years	Men	District - Bispebjerg	2269	2259	2162	2188	2238	2371	2439	2518	2609
Never married	0-9 years	Men	District - Amager Øst	2627	2608	2504	2536	2558	2548	2665	2747	2803
Never married	0-9 years	Men	District - Amager Vest	2541	2565	2659	2855	3031	3227	3372	3586	3822
Never married	0-9 years	Men	Polling area - 1. Østerbro	748	767	818	806	792	822	870	868	873
Never married	0-9 years	Men	Polling area - 1. Øst	342	344	299	313	358	384	415	432	457
Never married	0-9 years	Men	Polling area - 1. Nord	370	398	397	407	390	409	418	413	398
Never married	0-9 years	Men	Polling area - 1. Syd	842	867	887	853	865	881	921	972	1006
Never married	0-9 years	Men	Polling area - 1. Vest	725	683	645	677	678	714	711	744	774
Never married	0-9 years	Men	Polling area - 1. Nordvest	664	677	674	632	640	646	664	699	732
Never married	0-9 years	Men	Polling area - 2. Sundbyvester	678	681	643	650	708	740	722	752	754
Never married	0-9 years	Men	Polling area - 2. Nord	882	855	853	855	847	850	836	850	867
Never married	0-9 years	Men	Polling area - 2. Syd	126	125	148	176	260	341	401	504	596
Never married	0-9 years	Men	Polling area - 2. Øst	511	520	547	614	601	615	625	643	692
Never married	0-9 years	Men	Polling area - 2. Vest	344	384	468	560	615	681	788	837	913
Never married	0-9 years	Men	Polling area - 3. Indre By	635	627	661	690	701	689	744	745	779
Never married	0-9 years	Men	Polling area - 3. Nord	443	453	466	477	484	489	474	504	516
Never married	0-9 years	Men	Polling area - 3. Syd	527	554	538	533	539	549	569	570	568
Never married	0-9 years	Men	Polling area - 3. Øst	654	641	648	661	684	677	660	659	700
Never married	0-9 years	Men	Polling area - 4. Sundbyøster	530	526	506	521	548	557	625	652	653
Never married	0-9 years	Men	Polling area - 4. Nord	917	887	871	881	896	863	867	886	899
Never married	0-9 years	Men	Polling area - 4. Syd	514	528	488	486	475	480	505	523	538
Never married	0-9 years	Men	Polling area - 4. Øst	666	667	639	648	639	648	668	686	713
Never married	0-9 years	Men	Polling area - 5. Nørrebro	436	435	405	412	402	396	405	415	414
Never married	0-9 years	Men	Polling area - 5. Nord	667	663	679	668	657	655	612	614	604
Never married	0-9 years	Men	Polling area - 5. Nørrebrohallen	1164	1097	1095	1039	1013	957	986	973	938
Never married	0-9 years	Men	Polling area - 5. Syd	649	603	572	543	551	501	507	472	496
Never married	0-9 years	Men	Polling area - 5. Øst	451	484	453	439	427	432	426	481	468
