citizenship	age	sex	district	1997Q1	1998Q1	1999Q1	2000Q1	2001Q1	2002Q4
Denmark	0-4 years	Men	Copenhagen total	12280	12348	12630	12870	13494	14296
Denmark	0-4 years	Men	District - Indre By	1018	1001	1065	1155	1207	1255
Denmark	0-4 years	Men	District - Østerbro	1779	1820	1872	1854	1920	2012
Denmark	0-4 years	Men	District - Nørrebro	1794	1872	1890	1945	2066	2312
Denmark	0-4 years	Men	District - Vesterbro/Kongens Enghave	1048	1092	1164	1233	1346	1515
Denmark	0-4 years	Men	District - Valby	1278	1255	1258	1277	1272	1349
Denmark	0-4 years	Men	District - Vanløse	966	959	945	963	1000	1030
Denmark	0-4 years	Men	District - Brønshøj-Husum	1159	1171	1187	1128	1169	1166
Denmark	0-4 years	Men	District - Bispebjerg	841	872	882	904	1009	1086
Denmark	0-4 years	Men	District - Amager Øst	1222	1175	1211	1263	1312	1317
Denmark	0-4 years	Men	District - Amager Vest	1161	1122	1148	1135	1172	1215
Denmark	0-4 years	Men	District - Unlocated	14	9	8	13	21	39
Denmark	0-4 years	Men	Polling area - 1. Østerbro	363	353	362	395	413	417
Denmark	0-4 years	Men	Polling area - 1. Øst	181	189	183	190	193	211
Denmark	0-4 years	Men	Polling area - 1. Nord	195	201	207	191	177	185
Denmark	0-4 years	Men	Polling area - 1. Syd	381	414	432	428	467	483
Denmark	0-4 years	Men	Polling area - 1. Vest	368	377	384	340	354	387
Denmark	0-4 years	Men	Polling area - 1. Nordvest	291	286	304	310	316	329
Denmark	0-4 years	Men	Polling area - 2. Sundbyvester	328	317	311	295	300	323
Denmark	0-4 years	Men	Polling area - 2. Nord	376	357	382	390	424	440
Denmark	0-4 years	Men	Polling area - 2. Syd	73	58	58	50	51	55
Denmark	0-4 years	Men	Polling area - 2. Øst	207	216	220	220	216	205
Denmark	0-4 years	Men	Polling area - 2. Vest	177	174	177	180	181	192
Denmark	0-4 years	Men	Polling area - 3. Indre By	262	262	281	321	342	385
Denmark	0-4 years	Men	Polling area - 3. Nord	208	204	225	259	252	260
Denmark	0-4 years	Men	Polling area - 3. Syd	218	223	234	226	262	278
Denmark	0-4 years	Men	Polling area - 3. Øst	344	321	333	362	372	371
Denmark	0-4 years	Men	Polling area - 4. Sundbyøster	253	232	258	260	258	248
Denmark	0-4 years	Men	Polling area - 4. Nord	435	434	440	462	485	488
Denmark	0-4 years	Men	Polling area - 4. Syd	252	249	264	274	278	269
Denmark	0-4 years	Men	Polling area - 4. Øst	282	260	249	267	291	312
Denmark	0-4 years	Men	Polling area - 5. Nørrebro	175	197	190	199	225	214
Denmark	0-4 years	Men	Polling area - 5. Nord	285	267	282	300	321	343
Denmark	0-4 years	Men	Polling area - 5. Nørrebrohallen	372	361	386	396	436	481
Denmark	0-4 years	Men	Polling area - 5. Syd	256	297	286	289	282	319
Denmark	0-4 years	Men	Polling area - 5. Øst	202	219	220	223	237	261
Denmark	0-4 years	Men	Polling area - 5. Vest	221	254	256	273	295	365
Denmark	0-4 years	Men	Polling area - 5. Nordvest	283	277	270	265	270	329
Denmark	0-4 years	Men	Polling area - 6. Bispebjerg	188	197	191	178	191	212
Denmark	0-4 years	Men	Polling area - 6. Vest	146	164	174	200	242	248
Denmark	0-4 years	Men	Polling area - 6. Nord	180	170	179	198	213	222
Denmark	0-4 years	Men	Polling area - 6. Øst	113	118	112	106	123	126
Denmark	0-4 years	Men	Polling area - 6. Syd	214	223	226	222	240	278
Denmark	0-4 years	Men	Polling area - 7. Brønshøj	164	145	140	136	136	141
Denmark	0-4 years	Men	Polling area - 7. Nord	175	188	212	186	211	229
Denmark	0-4 years	Men	Polling area - 7. Syd	197	212	222	215	233	257
Denmark	0-4 years	Men	Polling area - 7. Øst	324	326	329	307	316	320
Denmark	0-4 years	Men	Polling area - 7. Vest	215	241	240	234	231	235
Denmark	0-4 years	Men	Polling area - 7. Nordvest	362	338	335	332	342	316
Denmark	0-4 years	Men	Polling area - 7. Katrinedal	115	113	102	117	136	136
Denmark	0-4 years	Men	Polling area - 7. Kirkebjerg	249	242	238	243	247	242
Denmark	0-4 years	Men	Polling area - 7. Vanløse	324	325	314	321	317	320
Denmark	0-4 years	Men	Polling area - 8. Valby	377	362	363	372	376	429
Denmark	0-4 years	Men	Polling area - 8. Nord	272	267	286	277	262	251
Denmark	0-4 years	Men	Polling area - 8. Syd	148	156	160	162	158	178
Denmark	0-4 years	Men	Polling area - 8. Vest	176	168	159	169	168	185
Denmark	0-4 years	Men	Polling area - 8. Sydøst	177	175	158	146	152	139
Denmark	0-4 years	Men	Polling area - 8. Midt	128	127	132	151	156	167
