citizenship	age	sex	district	1985Q1	1986Q1	1987Q1	1988Q1	1989Q1	1990Q1
Denmark	0-4 years	Men	Copenhagen total	8526	8390	8426	8690	9102	9632
Denmark	0-4 years	Men	District - Indre By	728	751	720	710	773	805
Denmark	0-4 years	Men	District - Østerbro	1128	1113	1110	1128	1194	1263
Denmark	0-4 years	Men	District - Nørrebro	1241	1203	1221	1279	1363	1443
Denmark	0-4 years	Men	District - Vesterbro/Kongens Enghave	842	788	768	796	812	888
Denmark	0-4 years	Men	District - Valby	909	886	907	909	944	976
Denmark	0-4 years	Men	District - Vanløse	657	650	685	693	755	792
Denmark	0-4 years	Men	District - Brønshøj-Husum	777	775	777	826	855	890
Denmark	0-4 years	Men	District - Bispebjerg	551	574	561	586	589	648
Denmark	0-4 years	Men	District - Amager Øst	795	763	759	823	877	943
Denmark	0-4 years	Men	District - Amager Vest	898	887	918	940	940	984
Denmark	0-4 years	Men	District - Unlocated	0	0	0	0	0	0
Denmark	0-4 years	Men	Polling area - 1. Østerbro	186	184	199	194	189	229
Denmark	0-4 years	Men	Polling area - 1. Øst	87	84	86	95	119	107
Denmark	0-4 years	Men	Polling area - 1. Nord	164	152	146	160	179	160
Denmark	0-4 years	Men	Polling area - 1. Syd	267	265	269	276	270	305
Denmark	0-4 years	Men	Polling area - 1. Vest	213	202	198	211	233	246
Denmark	0-4 years	Men	Polling area - 1. Nordvest	211	226	212	192	204	216
Denmark	0-4 years	Men	Polling area - 2. Sundbyvester	192	187	197	234	239	295
Denmark	0-4 years	Men	Polling area - 2. Nord	346	349	346	325	325	326
Denmark	0-4 years	Men	Polling area - 2. Syd	51	47	49	54	47	55
Denmark	0-4 years	Men	Polling area - 2. Øst	184	192	210	219	215	195
Denmark	0-4 years	Men	Polling area - 2. Vest	125	112	116	108	114	113
Denmark	0-4 years	Men	Polling area - 3. Indre By	185	190	192	201	207	194
Denmark	0-4 years	Men	Polling area - 3. Nord	163	145	140	134	159	154
Denmark	0-4 years	Men	Polling area - 3. Syd	163	163	166	167	172	208
Denmark	0-4 years	Men	Polling area - 3. Øst	217	253	222	208	235	249
Denmark	0-4 years	Men	Polling area - 4. Sundbyøster	172	172	162	176	191	194
Denmark	0-4 years	Men	Polling area - 4. Nord	294	283	283	288	297	351
Denmark	0-4 years	Men	Polling area - 4. Syd	167	168	156	185	201	198
Denmark	0-4 years	Men	Polling area - 4. Øst	162	140	158	174	188	200
Denmark	0-4 years	Men	Polling area - 5. Nørrebro	117	126	121	123	135	141
Denmark	0-4 years	Men	Polling area - 5. Nord	199	193	192	192	202	225
Denmark	0-4 years	Men	Polling area - 5. Nørrebrohallen	237	217	222	297	313	353
Denmark	0-4 years	Men	Polling area - 5. Syd	190	190	193	179	200	185
Denmark	0-4 years	Men	Polling area - 5. Øst	117	107	123	121	137	125
Denmark	0-4 years	Men	Polling area - 5. Vest	175	163	163	162	188	191
Denmark	0-4 years	Men	Polling area - 5. Nordvest	206	207	207	205	188	223
Denmark	0-4 years	Men	Polling area - 6. Bispebjerg	95	115	108	110	110	125
Denmark	0-4 years	Men	Polling area - 6. Vest	83	82	80	92	105	109
Denmark	0-4 years	Men	Polling area - 6. Nord	149	159	160	157	156	168
Denmark	0-4 years	Men	Polling area - 6. Øst	76	66	70	71	65	71
Denmark	0-4 years	Men	Polling area - 6. Syd	148	152	143	156	153	175
Denmark	0-4 years	Men	Polling area - 7. Brønshøj	117	120	125	144	149	156
Denmark	0-4 years	Men	Polling area - 7. Nord	179	188	165	177	170	173
Denmark	0-4 years	Men	Polling area - 7. Syd	138	145	154	161	165	180
Denmark	0-4 years	Men	Polling area - 7. Øst	191	191	198	211	223	221
Denmark	0-4 years	Men	Polling area - 7. Vest	156	128	127	130	147	161
Denmark	0-4 years	Men	Polling area - 7. Nordvest	209	223	227	240	245	259
Denmark	0-4 years	Men	Polling area - 7. Katrinedal	75	71	79	69	75	76
Denmark	0-4 years	Men	Polling area - 7. Kirkebjerg	201	203	204	205	221	207
Denmark	0-4 years	Men	Polling area - 7. Vanløse	168	156	183	182	215	249
Denmark	0-4 years	Men	Polling area - 8. Valby	227	214	225	233	236	243
Denmark	0-4 years	Men	Polling area - 8. Nord	172	180	174	173	166	182
Denmark	0-4 years	Men	Polling area - 8. Syd	84	85	80	80	98	114
Denmark	0-4 years	Men	Polling area - 8. Vest	161	149	170	146	149	146
Denmark	0-4 years	Men	Polling area - 8. Sydøst	172	157	157	165	170	164
Denmark	0-4 years	Men	Polling area - 8. Midt	93	101	101	112	125	127
Denmark	0-4 years	Men	Polling area - 9. Vesterbro	136	139	150	163	145	158
Denmark	0-4 years	Men	Polling area - 9. Nord	185	167	153	134	166	193
Denmark	0-4 years	Men	Polling area - 9. Syd	185	170	167	166	177	198
Denmark	0-4 years	Men	Polling area - 9. Øst	113	96	86	106	107	94
Denmark	0-4 years	Men	Polling area - 9. Vest	134	136	128	134	139	155
Denmark	0-4 years	Men	Polling area - 9. Midt	58	56	60	61	52	65
Denmark	0-4 years	Men	Polling area - 9. Sydhavn	31	24	24	32	26	25
Denmark	0-4 years	Women	Copenhagen total	7859	7725	7764	8068	8399	9041
Denmark	0-4 years	Women	District - Indre By	663	639	650	658	695	764
Denmark	0-4 years	Women	District - Østerbro	1060	1063	1043	1040	1091	1192
Denmark	0-4 years	Women	District - Nørrebro	1129	1107	1111	1281	1327	1446
Denmark	0-4 years	Women	District - Vesterbro/Kongens Enghave	724	671	675	719	770	782
Denmark	0-4 years	Women	District - Valby	821	832	828	866	886	950
Denmark	0-4 years	Women	District - Vanløse	662	640	603	594	641	709
Denmark	0-4 years	Women	District - Brønshøj-Husum	712	716	730	733	742	833
Denmark	0-4 years	Women	District - Bispebjerg	520	516	518	533	556	617
Denmark	0-4 years	Women	District - Amager Øst	775	777	804	808	815	852
Denmark	0-4 years	Women	District - Amager Vest	793	764	802	836	876	896
Denmark	0-4 years	Women	District - Unlocated	0	0	0	0	0	0
Denmark	0-4 years	Women	Polling area - 1. Østerbro	185	172	168	179	186	221
Denmark	0-4 years	Women	Polling area - 1. Øst	98	102	102	89	91	94
Denmark	0-4 years	Women	Polling area - 1. Nord	136	130	144	137	147	144
Denmark	0-4 years	Women	Polling area - 1. Syd	233	260	229	238	240	268
Denmark	0-4 years	Women	Polling area - 1. Vest	188	192	195	197	229	271
Denmark	0-4 years	Women	Polling area - 1. Nordvest	220	207	205	200	198	194
Denmark	0-4 years	Women	Polling area - 2. Sundbyvester	153	144	160	176	206	249
Denmark	0-4 years	Women	Polling area - 2. Nord	326	305	303	312	313	296
Denmark	0-4 years	Women	Polling area - 2. Syd	63	51	65	61	54	55
Denmark	0-4 years	Women	Polling area - 2. Øst	159	161	172	179	194	190
Denmark	0-4 years	Women	Polling area - 2. Vest	92	103	102	108	109	106
Denmark	0-4 years	Women	Polling area - 3. Indre By	169	162	164	160	167	191
Denmark	0-4 years	Women	Polling area - 3. Nord	148	147	141	152	164	167
Denmark	0-4 years	Women	Polling area - 3. Syd	152	140	149	159	166	177
Denmark	0-4 years	Women	Polling area - 3. Øst	194	190	196	187	198	229
Denmark	0-4 years	Women	Polling area - 4. Sundbyøster	151	162	163	161	153	164
Denmark	0-4 years	Women	Polling area - 4. Nord	321	306	327	321	317	319
Denmark	0-4 years	Women	Polling area - 4. Syd	161	145	141	157	176	186
Denmark	0-4 years	Women	Polling area - 4. Øst	142	164	173	169	169	183
Denmark	0-4 years	Women	Polling area - 5. Nørrebro	101	102	114	132	127	143
Denmark	0-4 years	Women	Polling area - 5. Nord	170	162	153	164	190	201
Denmark	0-4 years	Women	Polling area - 5. Nørrebrohallen	195	196	195	294	301	326
Denmark	0-4 years	Women	Polling area - 5. Syd	203	202	193	202	217	231
Denmark	0-4 years	Women	Polling area - 5. Øst	124	109	115	132	125	136
Denmark	0-4 years	Women	Polling area - 5. Vest	139	139	149	148	170	184
Denmark	0-4 years	Women	Polling area - 5. Nordvest	197	197	192	209	197	225
Denmark	0-4 years	Women	Polling area - 6. Bispebjerg	110	112	107	98	108	125
Denmark	0-4 years	Women	Polling area - 6. Vest	75	78	87	86	88	99
Denmark	0-4 years	Women	Polling area - 6. Nord	115	127	130	157	159	163
Denmark	0-4 years	Women	Polling area - 6. Øst	71	70	58	66	60	76
Denmark	0-4 years	Women	Polling area - 6. Syd	149	129	136	126	141	154
Denmark	0-4 years	Women	Polling area - 7. Brønshøj	123	121	108	121	131	136
Denmark	0-4 years	Women	Polling area - 7. Nord	177	156	147	148	157	182
Denmark	0-4 years	Women	Polling area - 7. Syd	145	135	138	140	158	171
Denmark	0-4 years	Women	Polling area - 7. Øst	166	175	177	167	171	197
Denmark	0-4 years	Women	Polling area - 7. Vest	112	126	150	139	142	158
Denmark	0-4 years	Women	Polling area - 7. Nordvest	198	199	203	209	203	236
Denmark	0-4 years	Women	Polling area - 7. Katrinedal	57	63	47	52	60	68
Denmark	0-4 years	Women	Polling area - 7. Kirkebjerg	185	187	184	196	197	201
Denmark	0-4 years	Women	Polling area - 7. Vanløse	211	194	179	155	164	193
Denmark	0-4 years	Women	Polling area - 8. Valby	204	210	205	211	217	234
Denmark	0-4 years	Women	Polling area - 8. Nord	172	155	161	163	172	182
Denmark	0-4 years	Women	Polling area - 8. Syd	84	96	97	101	94	96
Denmark	0-4 years	Women	Polling area - 8. Vest	140	139	129	134	137	161
Denmark	0-4 years	Women	Polling area - 8. Sydøst	131	137	139	162	169	172
Denmark	0-4 years	Women	Polling area - 8. Midt	90	95	97	95	97	105
Denmark	0-4 years	Women	Polling area - 9. Vesterbro	148	134	118	141	144	148
Denmark	0-4 years	Women	Polling area - 9. Nord	148	137	145	144	166	165
Denmark	0-4 years	Women	Polling area - 9. Syd	139	130	151	148	167	163
Denmark	0-4 years	Women	Polling area - 9. Øst	88	85	81	76	80	82
Denmark	0-4 years	Women	Polling area - 9. Vest	109	97	107	127	131	133
Denmark	0-4 years	Women	Polling area - 9. Midt	60	54	47	51	55	69
Denmark	0-4 years	Women	Polling area - 9. Sydhavn	32	34	26	32	27	22
Denmark	5-9 years	Men	Copenhagen total	7664	7312	7028	6974	6838	6743
Denmark	5-9 years	Men	District - Indre By	644	599	590	570	532	503
Denmark	5-9 years	Men	District - Østerbro	990	941	863	849	776	744
Denmark	5-9 years	Men	District - Nørrebro	920	890	868	927	952	951
Denmark	5-9 years	Men	District - Vesterbro/Kongens Enghave	669	631	593	574	569	517
Denmark	5-9 years	Men	District - Valby	890	841	816	825	813	786
Denmark	5-9 years	Men	District - Vanløse	640	614	599	592	582	581
Denmark	5-9 years	Men	District - Brønshøj-Husum	830	802	767	742	757	764
Denmark	5-9 years	Men	District - Bispebjerg	503	494	466	457	454	491
Denmark	5-9 years	Men	District - Amager Øst	689	681	642	607	585	599
Denmark	5-9 years	Men	District - Amager Vest	889	819	824	831	818	807
Denmark	5-9 years	Men	District - Unlocated	0	0	0	0	0	0
Denmark	5-9 years	Men	Polling area - 1. Østerbro	187	159	155	152	140	134
Denmark	5-9 years	Men	Polling area - 1. Øst	69	72	71	59	48	56
Denmark	5-9 years	Men	Polling area - 1. Nord	87	90	84	95	92	94
Denmark	5-9 years	Men	Polling area - 1. Syd	230	223	197	195	184	163
Denmark	5-9 years	Men	Polling area - 1. Vest	215	206	180	176	162	151
Denmark	5-9 years	Men	Polling area - 1. Nordvest	202	191	176	172	150	146
Denmark	5-9 years	Men	Polling area - 2. Sundbyvester	207	182	175	181	178	206
Denmark	5-9 years	Men	Polling area - 2. Nord	269	252	277	286	297	285
Denmark	5-9 years	Men	Polling area - 2. Syd	56	62	57	54	50	59
Denmark	5-9 years	Men	Polling area - 2. Øst	270	236	232	226	211	175
Denmark	5-9 years	Men	Polling area - 2. Vest	87	87	83	84	82	82
Denmark	5-9 years	Men	Polling area - 3. Indre By	137	116	121	112	118	116
Denmark	5-9 years	Men	Polling area - 3. Nord	150	155	155	148	131	124
Denmark	5-9 years	Men	Polling area - 3. Syd	152	136	135	129	122	113
Denmark	5-9 years	Men	Polling area - 3. Øst	205	192	179	181	161	150
Denmark	5-9 years	Men	Polling area - 4. Sundbyøster	144	149	153	143	129	127
Denmark	5-9 years	Men	Polling area - 4. Nord	230	224	207	194	187	197
Denmark	5-9 years	Men	Polling area - 4. Syd	161	155	145	142	131	130
Denmark	5-9 years	Men	Polling area - 4. Øst	154	153	137	128	138	145
Denmark	5-9 years	Men	Polling area - 5. Nørrebro	116	100	101	113	106	100
Denmark	5-9 years	Men	Polling area - 5. Nord	116	116	111	104	114	113
Denmark	5-9 years	Men	Polling area - 5. Nørrebrohallen	170	163	149	203	210	216
Denmark	5-9 years	Men	Polling area - 5. Syd	119	142	149	164	177	192
Denmark	5-9 years	Men	Polling area - 5. Øst	82	71	64	67	62	58
Denmark	5-9 years	Men	Polling area - 5. Vest	125	120	131	120	125	131
Denmark	5-9 years	Men	Polling area - 5. Nordvest	192	178	163	156	158	141
Denmark	5-9 years	Men	Polling area - 6. Bispebjerg	94	83	73	72	65	71
Denmark	5-9 years	Men	Polling area - 6. Vest	86	84	79	70	68	79
Denmark	5-9 years	Men	Polling area - 6. Nord	153	151	142	146	145	155
Denmark	5-9 years	Men	Polling area - 6. Øst	60	70	72	77	83	86
Denmark	5-9 years	Men	Polling area - 6. Syd	110	106	100	92	93	100
Denmark	5-9 years	Men	Polling area - 7. Brønshøj	130	113	109	104	114	111
Denmark	5-9 years	Men	Polling area - 7. Nord	184	174	163	167	174	161
Denmark	5-9 years	Men	Polling area - 7. Syd	112	117	117	118	120	117
Denmark	5-9 years	Men	Polling area - 7. Øst	158	147	152	159	166	186
Denmark	5-9 years	Men	Polling area - 7. Vest	154	168	166	144	132	132
Denmark	5-9 years	Men	Polling area - 7. Nordvest	272	256	239	223	230	232
Denmark	5-9 years	Men	Polling area - 7. Katrinedal	64	58	53	54	46	55
Denmark	5-9 years	Men	Polling area - 7. Kirkebjerg	221	224	213	209	196	196
Denmark	5-9 years	Men	Polling area - 7. Vanløse	175	159	154	156	161	155
Denmark	5-9 years	Men	Polling area - 8. Valby	230	219	208	210	195	191
Denmark	5-9 years	Men	Polling area - 8. Nord	155	133	142	137	137	127
Denmark	5-9 years	Men	Polling area - 8. Syd	96	76	84	75	80	76
Denmark	5-9 years	Men	Polling area - 8. Vest	160	156	149	163	147	144
Denmark	5-9 years	Men	Polling area - 8. Sydøst	153	168	153	159	165	162
Denmark	5-9 years	Men	Polling area - 8. Midt	96	89	80	81	89	86
