citizenship	age	sex	district	2015Q4	2016Q4	2017Q4	2018Q4	2019Q4	2020Q4
Denmark	0-4 years	Men	Copenhagen total	17236	17549	17842	17992	18148	18158
Denmark	0-4 years	Men	District - Indre By	1337	1353	1316	1311	1300	1262
Denmark	0-4 years	Men	District - Østerbro	2186	2145	2171	2161	2193	2154
Denmark	0-4 years	Men	District - Nørrebro	2354	2467	2533	2604	2536	2501
Denmark	0-4 years	Men	District - Vesterbro/Kongens Enghave	2093	2176	2213	2268	2343	2368
Denmark	0-4 years	Men	District - Valby	1608	1682	1696	1701	1772	1834
Denmark	0-4 years	Men	District - Vanløse	1160	1146	1146	1195	1172	1119
Denmark	0-4 years	Men	District - Brønshøj-Husum	1198	1204	1216	1205	1202	1291
Denmark	0-4 years	Men	District - Bispebjerg	1273	1325	1377	1397	1441	1487
Denmark	0-4 years	Men	District - Amager Øst	1618	1600	1636	1674	1731	1685
Denmark	0-4 years	Men	District - Amager Vest	2352	2402	2500	2448	2420	2413
Denmark	0-4 years	Men	Polling area - 1. Østerbro	426	397	372	354	366	357
Denmark	0-4 years	Men	Polling area - 1. Øst	281	291	283	302	347	363
Denmark	0-4 years	Men	Polling area - 1. Nord	191	189	211	234	211	210
Denmark	0-4 years	Men	Polling area - 1. Syd	453	423	457	448	441	437
Denmark	0-4 years	Men	Polling area - 1. Vest	446	448	442	436	444	410
Denmark	0-4 years	Men	Polling area - 1. Nordvest	389	397	406	387	384	377
Denmark	0-4 years	Men	Polling area - 2. Sundbyvester	397	375	377	330	322	327
Denmark	0-4 years	Men	Polling area - 2. Nord	486	497	496	495	451	443
Denmark	0-4 years	Men	Polling area - 2. Syd	474	484	581	607	676	701
Denmark	0-4 years	Men	Polling area - 2. Øst	373	397	391	390	387	381
Denmark	0-4 years	Men	Polling area - 2. Vest	622	649	655	626	584	561
Denmark	0-4 years	Men	Polling area - 3. Indre By	462	435	419	413	423	386
Denmark	0-4 years	Men	Polling area - 3. Nord	262	244	218	202	205	196
Denmark	0-4 years	Men	Polling area - 3. Syd	331	384	369	376	384	367
Denmark	0-4 years	Men	Polling area - 3. Øst	339	339	348	348	326	357
Denmark	0-4 years	Men	Polling area - 4. Sundbyøster	326	355	403	433	481	498
Denmark	0-4 years	Men	Polling area - 4. Nord	521	500	486	488	502	496
Denmark	0-4 years	Men	Polling area - 4. Syd	312	292	300	309	325	307
Denmark	0-4 years	Men	Polling area - 4. Øst	459	453	447	444	423	384
Denmark	0-4 years	Men	Polling area - 5. Nørrebro	242	273	277	287	299	278
Denmark	0-4 years	Men	Polling area - 5. Nord	313	326	351	379	398	407
Denmark	0-4 years	Men	Polling area - 5. Nørrebrohallen	440	440	457	437	418	427
Denmark	0-4 years	Men	Polling area - 5. Syd	264	292	273	293	280	257
Denmark	0-4 years	Men	Polling area - 5. Øst	329	325	316	321	287	294
Denmark	0-4 years	Men	Polling area - 5. Vest	348	379	388	388	381	400
Denmark	0-4 years	Men	Polling area - 5. Nordvest	418	432	471	499	473	438
Denmark	0-4 years	Men	Polling area - 6. Bispebjerg	342	348	358	406	424	423
Denmark	0-4 years	Men	Polling area - 6. Vest	242	262	270	250	251	263
