citizenship	age	sex	district	1991Q1	1992Q1	1993Q1	1994Q1	1995Q1	1996Q1
Denmark	0-4 years	Men	Copenhagen total	9970	10443	11017	11338	11663	11951
Denmark	0-4 years	Men	District - Indre By	795	793	846	849	864	944
Denmark	0-4 years	Men	District - Østerbro	1335	1368	1478	1570	1620	1670
Denmark	0-4 years	Men	District - Nørrebro	1502	1607	1696	1684	1757	1787
Denmark	0-4 years	Men	District - Vesterbro/Kongens Enghave	954	952	976	1005	1039	1008
Denmark	0-4 years	Men	District - Valby	1000	1057	1111	1167	1190	1278
Denmark	0-4 years	Men	District - Vanløse	811	836	878	923	930	962
Denmark	0-4 years	Men	District - Brønshøj-Husum	919	1004	1040	1067	1150	1131
Denmark	0-4 years	Men	District - Bispebjerg	668	724	768	777	785	815
Denmark	0-4 years	Men	District - Amager Øst	972	1077	1146	1212	1239	1251
Denmark	0-4 years	Men	District - Amager Vest	1005	1016	1067	1075	1083	1102
Denmark	0-4 years	Men	District - Unlocated	9	9	11	9	6	3
Denmark	0-4 years	Men	Polling area - 1. Østerbro	217	212	236	257	297	332
Denmark	0-4 years	Men	Polling area - 1. Øst	121	135	139	169	180	172
Denmark	0-4 years	Men	Polling area - 1. Nord	158	161	189	177	168	149
Denmark	0-4 years	Men	Polling area - 1. Syd	319	318	336	362	369	363
Denmark	0-4 years	Men	Polling area - 1. Vest	281	281	298	320	338	352
Denmark	0-4 years	Men	Polling area - 1. Nordvest	239	261	280	285	268	302
Denmark	0-4 years	Men	Polling area - 2. Sundbyvester	284	306	318	326	326	314
Denmark	0-4 years	Men	Polling area - 2. Nord	337	351	371	363	368	374
Denmark	0-4 years	Men	Polling area - 2. Syd	63	56	71	70	62	61
Denmark	0-4 years	Men	Polling area - 2. Øst	192	183	174	192	193	205
Denmark	0-4 years	Men	Polling area - 2. Vest	129	120	133	124	134	148
Denmark	0-4 years	Men	Polling area - 3. Indre By	203	198	209	204	214	235
Denmark	0-4 years	Men	Polling area - 3. Nord	156	153	167	174	170	196
Denmark	0-4 years	Men	Polling area - 3. Syd	202	182	209	199	203	203
Denmark	0-4 years	Men	Polling area - 3. Øst	243	269	272	281	283	313
Denmark	0-4 years	Men	Polling area - 4. Sundbyøster	208	216	207	239	227	244
Denmark	0-4 years	Men	Polling area - 4. Nord	341	381	436	450	470	451
Denmark	0-4 years	Men	Polling area - 4. Syd	213	245	252	253	263	264
Denmark	0-4 years	Men	Polling area - 4. Øst	210	235	251	270	279	292
Denmark	0-4 years	Men	Polling area - 5. Nørrebro	154	162	176	166	162	167
Denmark	0-4 years	Men	Polling area - 5. Nord	240	254	272	267	274	265
Denmark	0-4 years	Men	Polling area - 5. Nørrebrohallen	367	365	370	364	363	355
Denmark	0-4 years	Men	Polling area - 5. Syd	204	227	239	239	262	272
Denmark	0-4 years	Men	Polling area - 5. Øst	127	142	163	161	168	194
Denmark	0-4 years	Men	Polling area - 5. Vest	187	211	225	224	250	239
Denmark	0-4 years	Men	Polling area - 5. Nordvest	223	246	251	263	278	295
Denmark	0-4 years	Men	Polling area - 6. Bispebjerg	124	147	145	146	173	174
Denmark	0-4 years	Men	Polling area - 6. Vest	133	130	140	143	127	150
Denmark	0-4 years	Men	Polling area - 6. Nord	158	166	181	178	171	164
Denmark	0-4 years	Men	Polling area - 6. Øst	77	91	107	106	106	110
Denmark	0-4 years	Men	Polling area - 6. Syd	176	190	195	204	208	217
Denmark	0-4 years	Men	Polling area - 7. Brønshøj	154	172	185	168	171	156
Denmark	0-4 years	Men	Polling area - 7. Nord	159	182	172	189	188	183
Denmark	0-4 years	Men	Polling area - 7. Syd	176	183	186	194	201	217
Denmark	0-4 years	Men	Polling area - 7. Øst	246	250	286	310	320	311
